0.0000000000E+00    3.6337392512E-03    1.4532726686E-02    3.2690254089E-02
5.8095083688E-02    9.0731362153E-02    1.3057850042E-01    1.7761101960E-01
2.3179836335E-01    2.9310467717E-01    3.6148855530E-01    4.3690275613E-01
5.1929388710E-01    6.0860206053E-01    7.0476052195E-01    8.0769525292E-01
9.1732455075E-01    1.0335585876E+00    1.1562989524E+00    1.2854381786E+00
1.4208592623E+00    1.5624351747E+00    1.7100283733E+00    1.8634903182E+00
2.0226609977E+00    2.1873684690E+00    2.3574284220E+00    2.5326437698E+00
2.7128042747E+00    2.8976862147E+00    3.0870520986E+00    3.2806504354E+00
3.4782155630E+00    3.6794675480E+00    3.8841121546E+00    4.0918408942E+00
4.3023311599E+00    4.5152464500E+00    4.7302366781E+00    4.9469385892E+00
5.1649762707E+00    5.3839617584E+00    5.6034957507E+00    5.8231684219E+00
6.0425603366E+00    6.2612434633E+00    6.4787822832E+00    6.6947349849E+00
6.9086547535E+00    7.1200911721E+00    7.3285916360E+00    7.5337028366E+00
7.7349724152E+00    7.9319505675E+00    8.1241915721E+00    8.3112557863E+00
8.4927110052E+00    8.6681345343E+00    8.8371145884E+00    8.9992523726E+00
9.1541633151E+00    9.3014792651E+00    9.4408496187E+00    9.5719431028E+00
9.6944493238E+00    9.8080799314E+00    9.9125700903E+00    1.0007679760E+01
1.0093194629E+01    1.0168927143E+01    1.0234717464E+01    1.0290434168E+01
1.0335974800E+01    1.0371266368E+01    1.0396265673E+01    1.0410959508E+01
1.0415364647E+01    1.0409527749E+01    1.0393525104E+01    1.0367462228E+01
1.0331473323E+01    1.0285720597E+01    1.0230393446E+01    1.0165707519E+01
1.0091903652E+01    1.0009246696E+01    9.9180242353E+00    9.8185452072E+00
9.7111384364E+00    9.5961510889E+00    9.4739470582E+00    9.3449052926E+00
9.2094180770E+00    9.0678892777E+00    8.9207325646E+00    8.7683700317E+00
8.6112294809E+00    8.4497429486E+00    8.2843452989E+00    8.1154722690E+00
7.9435587681E+00    7.7690372271E+00    7.5923368874E+00    7.4138800648E+00
7.2340816365E+00    7.0533484206E+00    6.8720774257E+00    6.6906555240E+00
6.5094564964E+00    6.3288395036E+00    6.1491505419E+00    5.9707208962E+00
5.7938674803E+00    5.6188868212E+00    5.4460604926E+00    5.2756533163E+00
5.1079129335E+00    4.9430658776E+00    4.7813225332E+00    4.6228764242E+00
4.4679007281E+00    4.3165508358E+00    4.1689657220E+00    4.0252663456E+00
